Sun Jan 04 12:22:15 2015    profile_out1.txt

         1868107 function calls (1860775 primitive calls) in 20.882 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2215    0.008    0.000    0.180    0.000 _html5lib.py:197(insertText)
    17990    0.077    0.000    0.174    0.000 _lxml.py:194(data)
       31    0.000    0.000    0.171    0.006 httplib.py:614(_safe_read)
        1    0.008    0.008    0.171    0.171 bclerk.py:1(<module>)
     1426    0.025    0.000    0.167    0.000 html5parser.py:1768(flushCharacters)
     6861    0.046    0.000    0.167    0.000 tokenizer.py:1003(attributeValueDoubleQuotedState)
      132    0.001    0.000    0.167    0.001 __init__.py:1252(handle)
      132    0.002    0.000    0.165    0.001 __init__.py:1284(callHandlers)
      132    0.002    0.000    0.164    0.001 __init__.py:731(handle)
     1315    0.006    0.000    0.161    0.000 html5parser.py:1797(processStartTag)
        2    0.002    0.001    0.160    0.080 __init__.py:9(<module>)
        1    0.019    0.019    0.157    0.157 connectionpool.py:7(<module>)
        1    0.000    0.000    0.157    0.157 _form.py:885(ParseResponse)
        1    0.001    0.001    0.157    0.157 _form.py:963(_ParseFileEx)
        1    0.029    0.029    0.156    0.156 compat.py:5(<module>)
      132    0.003    0.000    0.154    0.001 __init__.py:830(emit)
        8    0.003    0.000    0.154    0.019 xl3.py:61(add_data_set_sheet)
    25702    0.110    0.000    0.151    0.000 {hasattr}
     2457    0.012    0.000    0.151    0.000 re.py:139(search)
      551    0.007    0.000    0.151    0.000 sgmllib.py:331(finish_starttag)
    10511    0.099    0.000    0.149    0.000 __init__.py:251(pushTag)
     6774    0.057    0.000    0.143    0.000 tokenizer.py:251(dataState)
3145/2244    0.022    0.000    0.142    0.000 html5parser.py:480(processEndTag)
        1    0.005    0.005    0.141    0.141 cfm.py:62(get_lad_from_reg_text)
    10945    0.141    0.000    0.141    0.000 {built-in method search}
        1    0.004    0.004    0.140    0.140 _html5lib.py:2(<module>)
    50747    0.128    0.000    0.140    0.000 inputstream.py:227(char)
      152    0.139    0.001    0.139    0.001 {method 'write' of 'file' objects}
    12460    0.071    0.000    0.139    0.000 tokenizer.py:429(tagNameState)
     2313    0.018    0.000    0.138    0.000 _html5lib.py:75(elementClass)
        1    0.004    0.004    0.136    0.136 __init__.py:12(<module>)
       48    0.001    0.000    0.134    0.003 ExcelFormula.py:12(__init__)
      114    0.001    0.000    0.133    0.001 __init__.py:1586(info)
        1    0.024    0.024    0.127    0.127 _lxml.py:2(<module>)
      551    0.014    0.000    0.127    0.000 BeautifulSoup.py:1330(unknown_starttag)
    22953    0.126    0.000    0.126    0.000 {built-in method __new__ of type object at 0x1E1E8538}
       47    0.000    0.000    0.124    0.003 xl3.py:11(get_formula_hyperlink)
       48    0.000    0.000    0.124    0.003 ExcelFormulaParser.py:84(formula)
   151/48    0.001    0.000    0.124    0.003 ExcelFormulaParser.py:89(expr)
      645    0.011    0.000    0.124    0.000 sre_compile.py:178(_compile_charset)
   151/48    0.001    0.000    0.123    0.003 ExcelFormulaParser.py:134(prec0_expr)
   151/48    0.001    0.000    0.121    0.003 ExcelFormulaParser.py:152(prec1_expr)
     1161    0.025    0.000    0.120    0.000 HTMLParser.py:308(parse_endtag)
   152/48    0.001    0.000    0.119    0.002 ExcelFormulaParser.py:182(prec2_expr)
     1690    0.007    0.000    0.118    0.000 _strptime.py:27(_getlang)
   152/48    0.001    0.000    0.116    0.002 ExcelFormulaParser.py:211(prec3_expr)
   152/48    0.001    0.000    0.115    0.002 ExcelFormulaParser.py:229(prec4_expr)
        8    0.031    0.004    0.114    0.014 FilterCountId.py:21(apply)
   152/48    0.001    0.000    0.111    0.002 ExcelFormulaParser.py:248(prec5_expr)
     1690    0.010    0.000    0.110    0.000 locale.py:499(getlocale)
    20043    0.074    0.000    0.110    0.000 __init__.py:356(handle_data)
    12824    0.108    0.000    0.108    0.000 __init__.py:101(can_be_empty_element)
    34133    0.107    0.000    0.107    0.000 {method 'join' of 'unicode' objects}
      645    0.038    0.000    0.107    0.000 sre_compile.py:207(_optimize_charset)
   152/48    0.004    0.000    0.105    0.002 ExcelFormulaParser.py:267(primary)
        1    0.006    0.006    0.104    0.104 __init__.py:2(<module>)
     8295    0.030    0.000    0.099    0.000 sre_parse.py:201(get)
        1    0.010    0.010    0.098    0.098 html5parser.py:1(<module>)
    14982    0.097    0.000    0.098    0.000 __init__.py:255(set_up_substitutions)
        1    0.006    0.006    0.095    0.095 Row.py:3(<module>)
    13095    0.056    0.000    0.095    0.000 {next}
    26024    0.094    0.000    0.094    0.000 {built-in method match}
     1690    0.007    0.000    0.094    0.000 locale.py:400(_parse_localename)
        2    0.000    0.000    0.093    0.046 httplib.py:737(connect)
     2864    0.010    0.000    0.093    0.000 antlr.py:2065(LA)
      614    0.004    0.000    0.092    0.000 {map}
    18093    0.091    0.000    0.091    0.000 {method 'items' of 'dict' objects}
     5273    0.024    0.000    0.090    0.000 markupbase.py:49(updatepos)
     1820    0.073    0.000    0.089    0.000 locale.py:334(normalize)
        1    0.007    0.007    0.089    0.089 inspect.py:25(<module>)
        1    0.002    0.002    0.087    0.087 _mechanize.py:10(<module>)
       39    0.000    0.000    0.087    0.002 _form.py:756(feed)
       39    0.000    0.000    0.086    0.002 _sgmllib_copy.py:101(feed)
       40    0.011    0.000    0.086    0.002 _sgmllib_copy.py:122(goahead)
    10501    0.054    0.000    0.084    0.000 __init__.py:242(popTag)
        1    0.017    0.017    0.083    0.083 cookielib.py:26(<module>)
     2864    0.016    0.000    0.083    0.000 antlr.py:1723(LA)
     9671    0.056    0.000    0.082    0.000 sre_parse.py:182(__next)
        1    0.007    0.007    0.080    0.080 _html.py:9(<module>)
     1183    0.006    0.000    0.079    0.000 _htmlparser.py:58(handle_endtag)
     2313    0.015    0.000    0.076    0.000 __init__.py:226(new_tag)
     6928    0.050    0.000    0.071    0.000 FilterCountId.py:16(get_count_id_ints)
      733    0.003    0.000    0.071    0.000 html5parser.py:2159(processCharacters)
      901    0.005    0.000    0.071    0.000 html5parser.py:2203(endTagOther)
    52/48    0.002    0.000    0.071    0.001 ExcelFormulaParser.py:568(expr_list)
        1    0.003    0.003    0.071    0.071 tokenize.py:23(<module>)
        1    0.001    0.001    0.069    0.069 _form.py:26(<module>)
    12931    0.069    0.000    0.069    0.000 {method 'lower' of 'str' objects}
      738    0.006    0.000    0.068    0.000 html5parser.py:986(processCharacters)
     4795    0.068    0.000    0.068    0.000 {method 'count' of 'unicode' objects}
    36992    0.068    0.000    0.068    0.000 {method 'get' of 'dict' objects}
        1    0.006    0.006    0.066    0.066 request.py:7(<module>)
     17/9    0.000    0.000    0.065    0.007 os.py:136(makedirs)
     3015    0.019    0.000    0.065    0.000 antlr.py:1715(fill)
        1    0.004    0.004    0.064    0.064 inputstream.py:1(<module>)
        1    0.002    0.002    0.064    0.064 _request.py:9(<module>)
     2593    0.051    0.000    0.064    0.000 {built-in method sub}
6959/6958    0.041    0.000    0.063    0.000 element.py:799(string)
      370    0.023    0.000    0.063    0.000 tokenizer.py:145(consumeEntity)
     4559    0.038    0.000    0.062    0.000 tokenizer.py:230(emitCurrentToken)
       17    0.060    0.004    0.060    0.004 {nt.mkdir}
        1    0.023    0.023    0.059    0.059 BeautifulSoup.py:78(<module>)
      173    0.006    0.000    0.058    0.000 sre_compile.py:361(_compile_info)
      906    0.021    0.000    0.057    0.000 html5parser.py:1388(endTagFormatting)
     3227    0.022    0.000    0.057    0.000 tokenizer.py:1066(afterAttributeValueState)
        6    0.000    0.000    0.056    0.009 connectionpool.py:191(_get_conn)
        1    0.003    0.003    0.055    0.055 _urllib2_fork.py:15(<module>)
    14816    0.041    0.000    0.055    0.000 {getattr}
        1    0.012    0.012    0.054    0.054 decimal.py:116(<module>)
    21615    0.054    0.000    0.054    0.000 _weakrefset.py:68(__contains__)
        1    0.002    0.002    0.053    0.053 element.py:1(<module>)
        1    0.010    0.010    0.053    0.053 filepost.py:7(<module>)
     6817    0.038    0.000    0.051    0.000 element.py:258(_last_descendant)
       10    0.028    0.003    0.050    0.005 sre_compile.py:301(_optimize_unicode)
        2    0.000    0.000    0.050    0.025 connectionpool.py:174(_new_conn)
        1    0.001    0.001    0.050    0.050 _clientcookie.py:33(<module>)
        6    0.000    0.000    0.049    0.008 sessions.py:268(__init__)
    29325    0.049    0.000    0.049    0.000 element.py:918(__nonzero__)
    25659    0.049    0.000    0.049    0.000 _lxml.py:64(_getNsTag)
      973    0.006    0.000    0.049    0.000 re.py:144(sub)
      419    0.006    0.000    0.048    0.000 sgmllib.py:311(parse_endtag)
       17    0.009    0.001    0.047    0.003 {__import__}
        1    0.000    0.000    0.047    0.047 html5parser.py:54(__init__)
       16    0.000    0.000    0.047    0.003 urllib2.py:1142(<genexpr>)
       21    0.047    0.002    0.047    0.002 {method 'title' of 'str' objects}
        1    0.000    0.000    0.046    0.046 tokenizer.py:37(__init__)
        1    0.000    0.000    0.046    0.046 inputstream.py:121(HTMLInputStream)
        1    0.000    0.000    0.046    0.046 inputstream.py:381(__init__)
     2215    0.017    0.000    0.046    0.000 __init__.py:230(new_string)
     6990    0.045    0.000    0.045    0.000 html5parser.py:250(normalizeToken)
      499    0.018    0.000    0.045    0.000 _sgmllib_copy.py:244(parse_starttag)
        1    0.000    0.000    0.045    0.045 _headersutil.py:10(<module>)
        6    0.000    0.000    0.045    0.007 utils.py:553(default_headers)
      553    0.009    0.000    0.045    0.000 BeautifulSoup.py:535(__init__)
        1    0.044    0.044    0.044    0.044 html5parser.py:2043(__init__)
        1    0.012    0.012    0.044    0.044 myutils.py:1(<module>)
        1    0.015    0.015    0.044    0.044 dammit.py:8(<module>)
        1    0.010    0.010    0.044    0.044 bcpao.py:3(<module>)
     2315    0.014    0.000    0.044    0.000 _html5lib.py:119(__init__)
        6    0.000    0.000    0.044    0.007 utils.py:522(default_user_agent)
    18618    0.043    0.000    0.043    0.000 {built-in method end}
     3236    0.015    0.000    0.043    0.000 {method 'decode' of 'str' objects}
        6    0.000    0.000    0.043    0.007 platform.py:1275(system)
       12    0.000    0.000    0.043    0.004 platform.py:1138(uname)
     1174    0.015    0.000    0.042    0.000 html5parser.py:2175(endTagTableCell)
    15247    0.041    0.000    0.041    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.041    0.041 BeautifulSoup.py:835(findAll)
        1    0.006    0.006    0.041    0.041 BeautifulSoup.py:348(_findAll)
        6    0.000    0.000    0.041    0.007 sessions.py:325(prepare_request)
        1    0.000    0.000    0.040    0.040 _util.py:8(<module>)
     6190    0.039    0.000    0.039    0.000 element.py:666(__getattr__)
      419    0.004    0.000    0.039    0.000 sgmllib.py:349(finish_endtag)
     4560    0.025    0.000    0.038    0.000 tokenizer.py:370(tagOpenState)
     3228    0.023    0.000    0.037    0.000 tokenizer.py:852(beforeAttributeNameState)
     5808    0.024    0.000    0.036    0.000 sre_parse.py:130(__getitem__)
        1    0.003    0.003    0.036    0.036 _htmlparser.py:1(<module>)
        1    0.011    0.011    0.036    0.036 connection.py:7(<module>)
     7339    0.035    0.000    0.035    0.000 {built-in method split}
     1081    0.019    0.000    0.035    0.000 BeautifulSoup.py:1239(endData)
        1    0.005    0.005    0.034    0.034 Worksheet.py:35(<module>)
        1    0.002    0.002    0.034    0.034 ExcelFormula.py:3(<module>)
      166    0.001    0.000    0.034    0.000 tokenizer.py:280(entityDataState)
        1    0.007    0.007    0.034    0.034 __init__.py:45(<module>)
     1176    0.008    0.000    0.034    0.000 element.py:846(get_text)
        1    0.003    0.003    0.033    0.033 HTMLParser.py:1(<module>)
        1    0.016    0.016    0.033    0.033 htmlserializer.py:1(<module>)
     1368    0.012    0.000    0.033    0.000 HTMLParser.py:278(check_for_whole_start_tag)
     1137    0.009    0.000    0.033    0.000 BeautifulSoup.py:950(search)
      479    0.018    0.000    0.032    0.000 BeautifulSoup.py:1284(_smartPop)
    13148    0.031    0.000    0.031    0.000 {range}
2650/2632    0.009    0.000    0.031    0.000 {method 'encode' of 'unicode' objects}
      204    0.001    0.000    0.031    0.000 tokenizer.py:225(processEntityInAttribute)
     8376    0.030    0.000    0.030    0.000 {method 'translate' of 'unicode' objects}
     2315    0.017    0.000    0.030    0.000 _base.py:24(__init__)
     3147    0.018    0.000    0.029    0.000 _base.py:164(elementInScope)
     1179    0.003    0.000    0.029    0.000 HTMLParser.py:365(unescape)
        1    0.006    0.006    0.029    0.029 tempfile.py:18(<module>)
       10    0.000    0.000    0.028    0.003 __init__.py:71(search_function)
